FazendaNome,Data,Metragem,DensidadeSeca,Umidade
ALTO DA SERRA,2021-05-01,80.0,236.375,4.83
ALTO DA SERRA,2021-05-03,80.0,230.0,4.09
ALTO DA SERRA,2021-05-06,80.0,225.625,4.97
ALTO DA SERRA,2021-05-08,85.0,232.706,4.94
ALTO DA SERRA,2021-05-08,75.72,257.132,4.32
ALTO DA SERRA,2021-05-10,81.0,241.111,3.21
ALTO DA SERRA,2021-05-11,77.0,235.974,3.79
ALTO DA SERRA,2021-05-12,82.0,230.244,4.66
ALTO DA SERRA,2021-05-13,84.76,231.359,5.72
ALTO DA SERRA,2021-05-15,80.0,246.625,5.07
ALTO DA SERRA,2021-05-16,82.0,236.22,2.77
ALTO DA SERRA,2021-05-18,84.0,235.0,4.53
ALTO DA SERRA,2021-05-19,83.0,236.867,1.7
ALTO DA SERRA,2021-05-20,54.0,243.704,2.84
ALTO DA SERRA,2021-05-26,78.0,243.205,3.55
ALTO DA SERRA,2021-05-28,80.0,246.625,2.54
ALTO DA SERRA,2021-05-29,81.0,230.988,3.4
ALTO DA SERRA,2021-05-30,80.0,227.75,3.12
ALTO DA SERRA,2020-05-28,80.0,236.341,2.5
ALTO DA SERRA,2020-05-31,77.3,224.473,2.13
ALTO DA SERRA,2020-06-21,80.3,229.888,3.02
ALTO DA SERRA,2020-07-29,80.0,244.555,3.05
ALTO DA SERRA,2020-08-22,77.5,242.121,9.84
ALTO DA SERRA,2020-08-31,80.0,227.896,3.16
ALTO DA SERRA,2020-09-24,74.0,239.484,2.89
ALTO DA SERRA,2020-12-22,74.0,252.854,2.6
ALTO DA SERRA,2020-12-26,70.0,250.511,4.16
ALTO DA SERRA,2021-01-12,66.0,279.787,2.81
ALTO DA SERRA,2021-02-28,76.0,234.737,4.12
ALTO DA SERRA,2021-03-06,76.0,273.421,5.71
ALTO DA SERRA,2021-03-07,81.0,268.519,4.87
ALTO DA SERRA,2021-03-11,74.5,258.658,2.23
ALTO DA SERRA,2021-03-21,80.1,245.818,6.39
ALTO DA SERRA,2021-03-27,74.0,239.865,2.09
ALTO DA SERRA,2021-03-28,78.5,244.713,6.2
ALTO DA SERRA,2021-04-06,75.33,254.348,3.78
ALTO DA SERRA,2021-04-11,76.0,236.447,3.87
ALTO DA SERRA,2021-04-18,80.0,236.875,3.08
ALTO DA SERRA,2021-04-21,75.0,241.6,6.28
ALTO DA SERRA,2021-06-04,80.1,239.076,3.21
ALTO DA SERRA,2021-06-12,75.0,267.867,4.39
ALTO DA SERRA,2021-06-19,72.8,246.566,3.78
ALTO DA SERRA,2021-06-29,84.0,254.167,4.56
ALTO DA SERRA,2021-07-19,69.5,246.331,5.29
ALTO DA SERRA,2021-10-05,72.0,273.847,12.73
ALTO DA SERRA,2021-10-09,75.1,250.999,5.96
ALTO DA SERRA,2021-10-15,71.0,271.549,6.82
ALTO DA SERRA,2021-11-24,74.2,237.871,5.55
ALTO DA SERRA,2021-12-06,76.0,249.079,3.58
ALTO DA SERRA,2021-12-08,74.5,248.322,4.38
ALTO DA SERRA,2021-12-12,76.0,235.658,5.53
ALTO DA SERRA,2021-12-21,74.6,267.158,9.32
ALTO DA SERRA,2022-01-25,70.5,261.135,8.02
ALTO DA SERRA,2022-02-24,77.1,238.781,6.12
ALTO DA SERRA,2022-03-09,77.0,229.87,3.58
ALTO DA SERRA,2022-03-24,77.02,235.004,6.62
ALTO DA SERRA,2022-04-09,75.51,246.193,4.01
ALTO DA SERRA,2022-04-12,73.53,247.246,8.22
ALTO DA SERRA,2022-04-19,77.35,229.089,3.09
ALTO DA SERRA,2022-04-21,76.88,245.317,6.61
ALTO DA SERRA,2022-04-23,79.09,229.485,4.05
ALTO DA SERRA,2022-04-28,72.1,248.405,4.31
ALTO DA SERRA,2022-05-04,76.64,245.955,5.85
ALTO DA SERRA,2022-05-05,76.88,240.895,4.57
ALTO DA SERRA,2022-05-07,78.02,236.35,4.41
ALTO DA SERRA,2022-05-14,77.83,238.34,3.65
ALTO DA SERRA,2022-05-26,80.0,231.75,3.8
