MotoristaVeiculo,DataEntrada,FazendaNome,PlacaVeiculo,DensidadeSeca,MOTIVO_MOT
149.0,2023-07-21,GLORIA,60,217.666,Salto_MR_Mot
149.0,2023-08-15,GLORIA,60,207.774,Salto_MR_Mot
149.0,2023-08-19,GLORIA,60,189.275,Físico<220
149.0,2024-08-15,GLORIA,7727,197.676,Físico<220
149.0,2024-08-28,GLORIA,7727,238.422,Salto_MR_Mot
149.0,2024-08-30,GLORIA,7727,196.104,Físico<220;Salto_MR_Mot
149.0,2024-09-04,GLORIA,7727,173.438,Físico<220;MedianaMot-3σ
149.0,2024-09-08,GLORIA,7727,192.955,Físico<220
149.0,2024-10-01,GLORIA,7727,202.182,Salto_MR_Mot
149.0,2024-10-16,GLORIA,7727,198.293,Físico<220
149.0,2024-11-16,GLORIA,7727,211.513,Salto_MR_Mot
149.0,2025-06-24,GLORIA,7727,262.778,Salto_MR_Mot
150.0,2022-05-17,GLORIA,1927,256.841,Salto_MR_Mot
150.0,2022-06-10,GLORIA,1927,169.305,Físico<220;MedianaMot-3σ;Salto_MR_Mot
150.0,2022-06-12,GLORIA,1927,240.262,Salto_MR_Mot
150.0,2023-02-27,GLORIA,1927,229.81,Salto_MR_Mot
150.0,2023-06-01,GLORIA,1927,287.115,Salto_MR_Mot
150.0,2023-07-29,GLORIA,1927,193.485,Físico<220;Salto_MR_Mot
150.0,2023-08-07,GLORIA,1927,199.018,Físico<220
150.0,2023-08-16,GLORIA,1927,251.656,Salto_MR_Mot
150.0,2023-08-18,GLORIA,1927,173.835,Físico<220;MedianaMot-3σ;Salto_MR_Mot
150.0,2023-08-19,GLORIA,1927,189.645,Físico<220
150.0,2023-08-25,GLORIA,1927,185.403,Físico<220;MedianaMot-3σ
150.0,2023-08-31,GLORIA,1927,191.753,Físico<220
150.0,2023-09-08,GLORIA,1927,195.307,Físico<220
150.0,2023-09-15,GLORIA,1927,195.747,Físico<220
150.0,2023-09-17,GLORIA,1927,177.732,Físico<220;MedianaMot-3σ
150.0,2023-09-21,GLORIA,1927,190.778,Físico<220
150.0,2023-09-22,GLORIA,1927,187.777,Físico<220;MedianaMot-3σ
150.0,2023-09-25,GLORIA,1927,192.412,Físico<220
150.0,2023-09-27,GLORIA,1927,185.076,Físico<220;MedianaMot-3σ
150.0,2023-09-29,GLORIA,1927,194.0,Físico<220
150.0,2023-10-02,GLORIA,1927,190.837,Físico<220
150.0,2023-10-15,GLORIA,1927,187.073,Físico<220;MedianaMot-3σ
150.0,2023-10-24,GLORIA,1927,230.325,Salto_MR_Mot
150.0,2023-10-30,GLORIA,1927,257.379,Salto_MR_Mot
150.0,2024-02-18,GLORIA,1927,217.852,Salto_MR_Mot
150.0,2024-03-09,GLORIA,1927,226.917,Salto_MR_Mot
150.0,2025-02-09,GLORIA,7727,207.386,Salto_MR_Mot
150.0,2025-03-09,GLORIA,7727,234.378,Salto_MR_Mot
150.0,2025-06-12,GLORIA,7727,230.496,Salto_MR_Mot
184.0,2024-11-01,MATA VERDE,356,190.608,Físico<220
184.0,2025-03-03,MATA VERDE,356,194.566,Físico<220
184.0,2025-03-18,MATA VERDE,356,196.94,Físico<220
184.0,2025-04-06,MATA VERDE,356,191.667,Físico<220
184.0,2025-06-05,MATA VERDE,356,191.656,Físico<220
184.0,2025-06-20,MATA VERDE,356,181.536,Físico<220
184.0,2025-06-29,MATA VERDE,356,197.897,Físico<220
199.0,2024-10-07,MATA VERDE,6752,195.701,Físico<220
199.0,2025-01-03,GLORIA,6752,276.208,Salto_MR_Mot
199.0,2025-01-06,GLORIA,6752,233.566,Salto_MR_Mot
199.0,2025-03-19,GLORIA,6752,246.866,Salto_MR_Mot
199.0,2025-06-19,GLORIA,6752,244.4,Salto_MR_Mot
1517.0,2021-09-02,GLORIA,2350,261.858,Salto_MR_Mot
1517.0,2021-09-05,GLORIA,2350,229.913,Salto_MR_Mot
1517.0,2021-09-21,GLORIA,2350,238.844,Salto_MR_Mot
1517.0,2021-10-22,GLORIA,992,251.246,Salto_MR_Mot
1517.0,2021-10-30,GLORIA,2350,222.114,Salto_MR_Mot
1517.0,2022-01-01,GLORIA,2350,278.827,Salto_MR_Mot
1517.0,2022-09-29,GLORIA,2350,272.66,Salto_MR_Mot
1517.0,2023-02-24,GLORIA,2350,261.193,Salto_MR_Mot
1517.0,2023-02-28,GLORIA,2350,213.952,Salto_MR_Mot
1517.0,2023-04-01,GLORIA,2350,218.814,Salto_MR_Mot
1517.0,2023-05-29,GLORIA,2350,261.644,Salto_MR_Mot
1517.0,2023-07-26,GLORIA,2350,207.04,Salto_MR_Mot
1517.0,2023-07-28,GLORIA,2350,239.683,Salto_MR_Mot
1517.0,2023-08-02,GLORIA,2350,212.622,Salto_MR_Mot
1517.0,2023-08-06,GLORIA,2350,193.455,Físico<220
1517.0,2023-08-09,GLORIA,2350,183.198,Físico<220
1517.0,2023-08-17,GLORIA,2350,264.756,Salto_MR_Mot
1517.0,2023-08-19,GLORIA,2350,191.698,Físico<220;Salto_MR_Mot
1517.0,2023-08-25,GLORIA,2350,194.098,Físico<220
1517.0,2023-08-25,GLORIA,812,187.872,Físico<220
1517.0,2023-08-28,GLORIA,2350,191.225,Físico<220
1517.0,2023-09-03,GLORIA,2350,199.835,Físico<220
1517.0,2023-09-11,GLORIA,2350,189.952,Físico<220
1517.0,2023-09-13,GLORIA,2350,196.535,Físico<220
1517.0,2023-09-17,GLORIA,2350,196.214,Físico<220
1517.0,2023-09-20,GLORIA,2350,181.884,Físico<220
1517.0,2023-09-24,GLORIA,2350,198.647,Físico<220
1517.0,2023-09-26,GLORIA,2350,182.099,Físico<220
1517.0,2023-09-29,GLORIA,2350,190.203,Físico<220
1517.0,2023-10-06,GLORIA,2350,196.8,Físico<220
1517.0,2023-10-10,GLORIA,2350,193.078,Físico<220
1517.0,2023-10-14,GLORIA,2350,191.813,Físico<220
1517.0,2023-10-21,GLORIA,2350,238.848,Salto_MR_Mot
1517.0,2023-12-26,GLORIA,2350,276.677,Salto_MR_Mot
