Forno,Bloco,Status_Ajustado,Data_Inicio,Data_Fim,Dias_no_Status
01,1,Carbonizando,2025-06-26,2025-06-27,2
01,2,Resfriando,2025-06-28,2025-07-01,4
01,3,Descarregado,2025-07-02,2025-07-02,1
01,4,Vazio,2025-07-03,2025-07-03,1
01,5,Carbonizando,2025-07-04,2025-07-07,4
02,1,Caído,2025-06-26,2025-07-07,12
03,1,Resfriando,2025-06-26,2025-06-27,2
03,2,Descarregado,2025-06-28,2025-06-28,1
03,3,Vazio,2025-06-29,2025-07-03,5
03,4,Carbonizando,2025-07-04,2025-07-07,4
04,1,Resfriando,2025-06-26,2025-06-27,2
04,2,Descarregado,2025-06-28,2025-06-28,1
04,3,Vazio,2025-06-29,2025-07-02,4
04,4,Carbonizando,2025-07-03,2025-07-07,5
05,1,Resfriando,2025-06-26,2025-06-27,2
05,2,Descarregado,2025-06-28,2025-06-28,1
05,3,Vazio,2025-06-29,2025-07-02,4
05,4,Carbonizando,2025-07-03,2025-07-07,5
06,1,Resfriando,2025-06-26,2025-06-27,2
06,2,Descarregado,2025-06-28,2025-06-28,1
06,3,Vazio,2025-06-29,2025-07-02,4
06,4,Carbonizando,2025-07-03,2025-07-06,4
06,5,Resfriando,2025-07-07,2025-07-07,1
07,1,Resfriando,2025-06-26,2025-06-27,2
07,2,Descarregado,2025-06-28,2025-06-28,1
07,3,Vazio,2025-06-29,2025-07-01,3
07,4,Carregado,2025-07-02,2025-07-02,1
07,5,Carbonizando,2025-07-03,2025-07-06,4
07,6,Resfriando,2025-07-07,2025-07-07,1
08,1,Resfriando,2025-06-26,2025-06-27,2
08,2,Descarregado,2025-06-28,2025-06-28,1
08,3,Vazio,2025-06-29,2025-07-01,3
08,4,Carregado,2025-07-02,2025-07-03,2
08,5,Carbonizando,2025-07-04,2025-07-06,3
08,6,Resfriando,2025-07-07,2025-07-07,1
09,1,Resfriando,2025-06-26,2025-06-27,2
09,2,Descarregado,2025-06-28,2025-06-28,1
09,3,Vazio,2025-06-29,2025-07-02,4
09,4,Carregado,2025-07-03,2025-07-04,2
09,5,Carbonizando,2025-07-05,2025-07-06,2
09,6,Resfriando,2025-07-07,2025-07-07,1
10,1,Resfriando,2025-06-26,2025-06-26,1
10,2,Descarregado,2025-06-27,2025-06-27,1
10,3,Vazio,2025-06-28,2025-06-30,3
10,4,Carregado,2025-07-01,2025-07-03,3
10,5,Carbonizando,2025-07-04,2025-07-06,3
10,6,Resfriando,2025-07-07,2025-07-07,1
11,1,Resfriando,2025-06-26,2025-06-26,1
11,2,Descarregado,2025-06-27,2025-06-27,1
11,3,Vazio,2025-06-28,2025-06-30,3
11,4,Carbonizando,2025-07-01,2025-07-06,6
11,5,Resfriando,2025-07-07,2025-07-07,1
12,1,Resfriando,2025-06-26,2025-06-26,1
12,2,Descarregado,2025-06-27,2025-06-27,1
12,3,Vazio,2025-06-28,2025-06-30,3
12,4,Carbonizando,2025-07-01,2025-07-06,6
12,5,Resfriando,2025-07-07,2025-07-07,1
13,1,Em manutenção,2025-06-26,2025-06-26,1
13,2,Vazio,2025-06-27,2025-06-29,3
13,3,Carregado,2025-06-30,2025-06-30,1
13,4,Carbonizando,2025-07-01,2025-07-06,6
13,5,Resfriando,2025-07-07,2025-07-07,1
14,1,Em manutenção,2025-06-26,2025-07-07,12
15,1,Resfriando,2025-06-26,2025-06-26,1
15,2,Descarregado,2025-06-27,2025-06-27,1
15,3,Vazio,2025-06-28,2025-06-28,1
15,4,Caído,2025-06-29,2025-07-07,9
16,1,Resfriando,2025-06-26,2025-06-26,1
16,2,Descarregado,2025-06-27,2025-06-27,1
16,3,Vazio,2025-06-28,2025-06-29,2
16,4,Carregado,2025-06-30,2025-06-30,1
16,5,Carbonizando,2025-07-01,2025-07-03,3
16,6,Resfriando,2025-07-04,2025-07-07,4
17,1,Resfriando,2025-06-26,2025-06-26,1
17,2,Descarregado,2025-06-27,2025-06-27,1
17,3,Vazio,2025-06-28,2025-06-28,1
17,4,Carregado,2025-06-29,2025-06-30,2
17,5,Carbonizando,2025-07-01,2025-07-06,6
17,6,Resfriando,2025-07-07,2025-07-07,1
18,1,Resfriando,2025-06-26,2025-06-26,1
18,2,Descarregado,2025-06-27,2025-06-27,1
18,3,Vazio,2025-06-28,2025-06-29,2
18,4,Carregado,2025-06-30,2025-06-30,1
18,5,Carbonizando,2025-07-01,2025-07-01,1
18,6,Resfriando,2025-07-02,2025-07-02,1
18,7,Vazio,2025-07-03,2025-07-06,4
18,8,Carbonizando,2025-07-07,2025-07-07,1
19,1,Resfriando,2025-06-26,2025-06-26,1
19,2,Descarregado,2025-06-27,2025-06-27,1
19,3,Carregado,2025-06-28,2025-06-30,3
19,4,Carbonizando,2025-07-01,2025-07-03,3
19,5,Resfriando,2025-07-04,2025-07-07,4
20,1,Resfriando,2025-06-26,2025-06-26,1
20,2,Descarregado,2025-06-27,2025-06-27,1
20,3,Carregado,2025-06-28,2025-06-30,3
20,4,Carbonizando,2025-07-01,2025-07-03,3
20,5,Resfriando,2025-07-04,2025-07-07,4
21,1,Resfriando,2025-06-26,2025-06-26,1
21,2,Descarregado,2025-06-27,2025-06-27,1
21,3,Carregado,2025-06-28,2025-06-30,3
21,4,Carbonizando,2025-07-01,2025-07-03,3
21,5,Resfriando,2025-07-04,2025-07-07,4
22,1,Descarregado,2025-06-26,2025-06-26,1
22,2,Vazio,2025-06-27,2025-06-27,1
22,3,Carbonizando,2025-06-28,2025-07-01,4
22,4,Resfriando,2025-07-02,2025-07-06,5
22,5,Descarregado,2025-07-07,2025-07-07,1
23,1,Descarregado,2025-06-26,2025-06-26,1
23,2,Vazio,2025-06-27,2025-06-27,1
