ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco
e876c21a,19,Resfriando,2025-06-26,UPC-Mata Verde,Resfriando,0,,True,1
4972ccd1,19,Descarregado,2025-06-27,UPC-Mata Verde,Descarregado,0,,True,2
898e6bc9,19,Carregado,2025-06-28,UPC-Mata Verde,Carregado,0,,True,3
b4ffefe1,19,Carregado,2025-06-29,UPC-Mata Verde,Carregado,0,,False,3
72b1b184,19,Carregado,2025-06-30,UPC-Mata Verde,Carregado,0,,False,3
d1504412,19,Carbonizando,2025-07-01,UPC-Mata Verde,Carbonizando,0,,True,4
c7b7c7a1,19,Carbonizando,2025-07-02,UPC-Mata Verde,Carbonizando,0,,False,4
10028816,19,Carbonizando,2025-07-03,UPC-Mata Verde,Carbonizando,0,,False,4
19d466c7,19,Resfriando,2025-07-04,UPC-Mata Verde,Resfriando,0,,True,5
f5dfdf63,19,Resfriando,2025-07-05,UPC-Mata Verde,Resfriando,0,,False,5
496d261d,19,Resfriando,2025-07-06,UPC-Mata Verde,Resfriando,0,,False,5
49deb4f6,19,Resfriando,2025-07-07,UPC-Mata Verde,Resfriando,0,,False,5
