Data,Taxa Inatividade (%)
2025-07-02,48.41269841269841
2025-07-03,
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,
2025-07-08,
2025-07-09,
2025-07-10,19.696969696969695
2025-07-11,
2025-07-12,
2025-07-13,
2025-07-14,
2025-07-15,24.313725490196077
2025-07-16,
2025-07-17,
2025-07-18,
2025-07-19,
2025-07-20,
2025-07-21,
2025-07-22,
2025-07-23,
2025-07-24,
2025-07-25,
2025-07-26,
2025-07-27,
2025-07-28,
2025-07-29,
2025-07-30,
2025-07-31,34.12698412698413
2025-08-01,33.58490566037736
2025-08-02,36.15384615384615
2025-08-03,34.523809523809526
2025-08-04,33.45864661654135
2025-08-05,34.98098859315589
2025-08-06,34.831460674157306
2025-08-07,35.338345864661655
2025-08-08,35.60606060606061
