FazendaNome,Data,Metragem,DensidadeSeca,Umidade,PlacaVeiculo,MotoristaVeiculo,PesoBruto
MAPAL,2021-05-01,115.5,243.377,1.73,1927,150.0,49360.0
MAPAL,2021-05-03,116.09,247.394,6.26,1927,150.0,50090.0
MAPAL,2021-05-04,114.85,255.725,5.98,1927,150.0,50650.0
MAPAL,2021-05-07,115.19,238.215,5.24,1927,150.0,48370.0
MAPAL,2021-05-08,119.58,235.993,3.56,1927,150.0,49590.0
MAPAL,2021-05-10,118.54,248.018,3.25,1927,150.0,50520.0
MAPAL,2021-05-11,116.87,241.807,3.63,1927,150.0,49420.0
MAPAL,2021-05-12,118.5,236.203,4.9,1927,150.0,49000.0
MAPAL,2021-05-12,117.56,240.133,4.46,1927,150.0,49380.0
MAPAL,2021-05-13,103.61,250.458,4.51,2517,1381.0,45430.0
MAPAL,2021-05-13,117.8,238.285,5.24,1927,150.0,49290.0
MAPAL,2021-05-14,119.9,227.44,5.14,1927,150.0,48620.0
MAPAL,2021-05-15,120.0,237.833,3.73,1927,150.0,49740.0
MAPAL,2021-05-16,119.0,238.151,2.81,1927,150.0,49620.0
MAPAL,2021-05-16,116.0,250.517,4.8,2192,2060.0,46720.0
MAPAL,2021-05-17,112.5,238.222,4.52,2517,1381.0,46410.0
MAPAL,2021-05-17,118.0,246.78,3.73,1927,150.0,50210.0
MAPAL,2021-05-18,118.5,230.717,4.9,1927,150.0,48630.0
MAPAL,2021-05-19,118.0,247.288,2.78,1927,150.0,50380.0
MAPAL,2021-05-20,118.0,233.051,2.68,1927,150.0,48580.0
MAPAL,2021-05-21,118.0,233.22,3.36,1927,150.0,48620.0
MAPAL,2021-05-22,120.0,237.917,4.36,1927,150.0,49890.0
MAPAL,2021-05-23,115.5,246.926,5.35,1927,150.0,49800.0
MAPAL,2021-05-24,122.0,234.18,4.98,1927,150.0,49800.0
MAPAL,2021-05-26,120.0,245.333,5.03,1927,150.0,50570.0
MAPAL,2021-05-27,117.86,236.637,3.81,1927,150.0,49290.0
MAPAL,2021-05-28,115.5,236.883,4.39,1927,150.0,48650.0
MAPAL,2021-05-29,121.2,235.231,2.31,1927,150.0,49900.0
MAPAL,2021-05-29,113.5,245.551,2.83,2517,1381.0,47500.0
MAPAL,2021-05-30,118.0,232.797,3.78,1927,150.0,48900.0
MAPAL,2021-05-31,112.28,244.3,4.45,1927,150.0,48950.0
MAPAL,2020-12-05,106.7,284.686,5.19,421,4178.0,52540.0
MAPAL,2020-12-08,112.02,247.961,3.22,421,4178.0,49320.0
MAPAL,2021-03-05,118.5,253.165,6.36,421,4178.0,51130.0
MAPAL,2021-04-06,114.21,259.084,3.05,1927,150.0,51110.0
MAPAL,2021-04-21,118.0,229.746,4.8,1927,150.0,48330.0
MAPAL,2021-06-03,117.4,243.782,5.16,1927,150.0,49940.0
MAPAL,2021-08-01,110.0,231.091,3.2,2192,2060.0,43200.0
MAPAL,2021-08-14,107.66,251.625,3.63,2192,2060.0,45000.0
MAPAL,2021-08-15,112.0,230.804,3.93,2192,2060.0,43690.0
MAPAL,2021-08-24,76.0,255.263,2.61,60,149.0,30030.0
MAPAL,2021-08-26,76.1,262.549,3.87,60,149.0,30670.0
MAPAL,2021-08-27,77.47,253.517,3.78,60,149.0,30420.0
MAPAL,2021-09-05,77.5,263.613,3.85,60,149.0,31150.0
MAPAL,2021-09-07,78.0,238.974,2.95,60,149.0,29270.0
MAPAL,2021-09-09,78.0,251.667,3.97,60,149.0,30390.0
MAPAL,2021-09-12,80.0,255.125,2.92,60,149.0,31170.0
MAPAL,2021-09-18,76.6,241.906,3.38,60,149.0,29290.0
MAPAL,2021-09-25,76.8,257.812,4.54,60,149.0,30610.0
MAPAL,2021-09-25,75.88,256.589,3.03,60,149.0,30190.0
MAPAL,2021-09-26,77.5,236.129,3.23,60,149.0,29000.0
MAPAL,2021-09-27,74.0,262.973,3.55,60,149.0,30120.0
MAPAL,2021-10-28,82.55,236.584,3.51,60,149.0,30290.0
MAPAL,2021-10-31,81.82,236.495,4.33,60,149.0,30120.0
MAPAL,2021-12-18,75.0,270.267,10.81,60,149.0,31250.0
MAPAL,2021-12-19,76.16,244.223,4.72,60,149.0,29660.0
MAPAL,2021-12-24,75.0,275.056,13.4,60,149.0,31880.0
MAPAL,2021-12-25,80.23,260.376,6.21,60,149.0,31720.0
MAPAL,2021-12-25,79.5,270.566,5.48,60,149.0,32400.0
MAPAL,2021-12-26,76.0,261.579,5.86,60,149.0,30760.0
MAPAL,2021-12-26,80.3,268.369,4.69,60,149.0,32370.0
MAPAL,2021-12-27,76.0,266.974,6.58,60,149.0,31170.0
MAPAL,2021-12-28,74.0,278.108,3.78,60,149.0,31430.0
MAPAL,2021-12-31,79.78,259.965,6.52,60,149.0,31580.0
MAPAL,2022-01-01,79.0,256.835,7.97,60,149.0,31110.0
MAPAL,2022-01-02,75.0,275.067,4.73,60,149.0,31420.0
MAPAL,2022-01-02,74.5,246.711,2.61,60,149.0,29250.0
MAPAL,2022-01-11,72.05,254.684,3.78,60,149.0,29230.0
MAPAL,2022-01-11,77.56,252.063,3.18,60,149.0,30350.0
MAPAL,2022-02-19,76.4,254.188,3.24,60,149.0,30110.0
MAPAL,2022-02-21,75.5,251.391,2.15,60,149.0,29780.0
MAPAL,2022-02-27,77.5,253.032,5.33,60,149.0,30350.0
MAPAL,2022-03-06,77.0,258.442,3.09,60,149.0,30750.0
MAPAL,2022-03-18,77.88,275.681,4.66,60,149.0,32320.0
MAPAL,2022-03-18,77.83,268.534,5.38,60,149.0,31760.0
MAPAL,2022-03-27,77.65,256.922,4.43,60,149.0,30860.0
MAPAL,2022-03-31,76.22,264.498,6.0,60,149.0,31020.0
MAPAL,2022-04-03,78.02,275.57,6.07,60,150.0,32300.0
MAPAL,2022-04-03,78.2,252.174,5.13,60,150.0,30420.0
