ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Consecutivos,Alerta
dfa3d550,54,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,53,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,52,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,51,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,50,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,49,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,47,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,45,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,44,Descarregado,2025-08-03,UPC-Mata Verde,Vazio,2,Forno em 'Vazio' há 2 dias consecutivos!
dfa3d550,42,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,41,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,40,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,39,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,37,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,36,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,35,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
dfa3d550,34,Vazio,2025-08-03,UPC-Mata Verde,Vazio,5,Forno em 'Vazio' há 5 dias consecutivos!
dfa3d550,33,Vazio,2025-08-03,UPC-Mata Verde,Vazio,5,Forno em 'Vazio' há 5 dias consecutivos!
dfa3d550,32,Vazio,2025-08-03,UPC-Mata Verde,Vazio,5,Forno em 'Vazio' há 5 dias consecutivos!
dfa3d550,43,Vazio,2025-08-03,UPC-Mata Verde,Vazio,4,Forno em 'Vazio' há 4 dias consecutivos!
