ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
e876c21a,16,Resfriando,2025-06-26,UPC-Mata Verde,Resfriando,0,,True,1,,False,False
4972ccd1,16,Descarregado,2025-06-27,UPC-Mata Verde,Descarregado,0,,True,2,Resfriando,False,True
898e6bc9,16,Descarregado,2025-06-28,UPC-Mata Verde,Vazio,1,,True,3,Descarregado,False,False
b4ffefe1,16,Descarregado,2025-06-29,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,3,Vazio,False,False
72b1b184,16,Carregado,2025-06-30,UPC-Mata Verde,Carregado,0,,True,4,Vazio,True,False
d1504412,16,Carbonizando,2025-07-01,UPC-Mata Verde,Carbonizando,0,,True,5,Carregado,False,False
c7b7c7a1,16,Carbonizando,2025-07-02,UPC-Mata Verde,Carbonizando,0,,False,5,Carbonizando,False,False
10028816,16,Carbonizando,2025-07-03,UPC-Mata Verde,Carbonizando,0,,False,5,Carbonizando,False,False
19d466c7,16,Resfriando,2025-07-04,UPC-Mata Verde,Resfriando,0,,True,6,Carbonizando,False,False
f5dfdf63,16,Resfriando,2025-07-05,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
496d261d,16,Resfriando,2025-07-06,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
49deb4f6,16,Resfriando,2025-07-07,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
4facd70b,16,Resfriando,2025-07-08,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
1f3876bc,16,Resfriando,2025-07-09,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
a667de14,16,Descarregado,2025-07-10,UPC-Mata Verde,Descarregado,0,,True,7,Resfriando,False,True
9140ecb7,16,Descarregado,2025-07-11,UPC-Mata Verde,Vazio,1,,True,8,Descarregado,False,False
836f3310,16,Vazio,2025-07-12,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,8,Vazio,False,False
6f32cffb,16,Carbonizando,2025-07-13,UPC-Mata Verde,Carbonizando,0,,True,9,Vazio,True,False
ca705202,16,Carbonizando,2025-07-14,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
e2d0c89d,16,Carbonizando,2025-07-15,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
1ed85af1,16,Carbonizando,2025-07-16,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
4f0c3deb,16,Carbonizando,2025-07-17,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
fc2482a1,16,Carbonizando,2025-07-18,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
b06275b4,16,Carbonizando,2025-07-19,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
aa02211a,16,Resfriando,2025-07-20,UPC-Mata Verde,Resfriando,0,,True,10,Carbonizando,False,False
a0530255,16,Resfriando,2025-07-21,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
31e3dec8,16,Resfriando,2025-07-22,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
63cce7ca,16,Resfriando,2025-07-23,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
9a238d8a,16,Resfriando,2025-07-24,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
72ddcec5,16,Resfriando,2025-07-25,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
3a1af6c3,16,Descarregado,2025-07-26,UPC-Mata Verde,Descarregado,0,,True,11,Resfriando,False,True
c5982aac,16,Vazio,2025-07-27,UPC-Mata Verde,Vazio,1,,True,12,Descarregado,False,False
9d4f136d,16,Vazio,2025-07-28,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,12,Vazio,False,False
ca91db1e,16,Vazio,2025-07-29,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,False,12,Vazio,False,False
ddf01aa5,16,Vazio,2025-07-30,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,False,12,Vazio,False,False
369b9d1e,16,Carbonizando,2025-07-31,UPC-Mata Verde,Carbonizando,0,,True,13,Vazio,True,False
