ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Dias_Resfriando_Consecutivos,Alerta_Resfriamento,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
e876c21a,26,Descarregado,2025-06-26,UPC-Mata Verde,Descarregado,0,,0,,True,1,,False,False
4972ccd1,26,Descarregado,2025-06-27,UPC-Mata Verde,Vazio,1,,0,,True,2,Descarregado,False,False
898e6bc9,26,Carbonizando,2025-06-28,UPC-Mata Verde,Carbonizando,0,,0,,True,3,Vazio,True,False
b4ffefe1,26,Carbonizando,2025-06-29,UPC-Mata Verde,Carbonizando,0,,0,,False,3,Carbonizando,False,False
72b1b184,26,Carbonizando,2025-06-30,UPC-Mata Verde,Carbonizando,0,,0,,False,3,Carbonizando,False,False
d1504412,26,Resfriando,2025-07-01,UPC-Mata Verde,Resfriando,0,,1,,True,4,Carbonizando,False,False
c7b7c7a1,26,Resfriando,2025-07-02,UPC-Mata Verde,Resfriando,0,,2,,False,4,Resfriando,False,False
10028816,26,Resfriando,2025-07-03,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,4,Resfriando,False,False
19d466c7,26,Resfriando,2025-07-04,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,4,Resfriando,False,False
f5dfdf63,26,Resfriando,2025-07-05,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,4,Resfriando,False,False
496d261d,26,Resfriando,2025-07-06,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,4,Resfriando,False,False
49deb4f6,26,Descarregado,2025-07-07,UPC-Mata Verde,Descarregado,0,,0,,True,5,Resfriando,False,True
4facd70b,26,Resfriando,2025-07-08,UPC-Mata Verde,Resfriando,0,,1,,True,6,Descarregado,False,False
1f3876bc,26,Resfriando,2025-07-09,UPC-Mata Verde,Resfriando,0,,2,,False,6,Resfriando,False,False
a667de14,26,Resfriando,2025-07-10,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,6,Resfriando,False,False
9140ecb7,26,Resfriando,2025-07-11,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,6,Resfriando,False,False
836f3310,26,Resfriando,2025-07-12,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,6,Resfriando,False,False
6f32cffb,26,Resfriando,2025-07-13,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,6,Resfriando,False,False
ca705202,26,Resfriando,2025-07-14,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,6,Resfriando,False,False
e2d0c89d,26,Vazio,2025-07-15,UPC-Mata Verde,Vazio,1,,0,,True,7,Resfriando,False,True
1ed85af1,26,Carbonizando,2025-07-16,UPC-Mata Verde,Carbonizando,0,,0,,True,8,Vazio,True,False
4f0c3deb,26,Resfriando,2025-07-17,UPC-Mata Verde,Resfriando,0,,1,,True,9,Carbonizando,False,False
fc2482a1,26,Resfriando,2025-07-18,UPC-Mata Verde,Resfriando,0,,2,,False,9,Resfriando,False,False
b06275b4,26,Resfriando,2025-07-19,UPC-Mata Verde,Resfriando,0,,3,Forno resfriando há 3 dias consecutivos!,False,9,Resfriando,False,False
aa02211a,26,Resfriando,2025-07-20,UPC-Mata Verde,Resfriando,0,,4,Forno resfriando há 4 dias consecutivos!,False,9,Resfriando,False,False
a0530255,26,Resfriando,2025-07-21,UPC-Mata Verde,Resfriando,0,,5,Forno resfriando há 5 dias consecutivos!,False,9,Resfriando,False,False
31e3dec8,26,Resfriando,2025-07-22,UPC-Mata Verde,Resfriando,0,,6,Forno resfriando há 6 dias consecutivos!,False,9,Resfriando,False,False
63cce7ca,26,Resfriando,2025-07-23,UPC-Mata Verde,Resfriando,0,,7,Forno resfriando há 7 dias consecutivos!,False,9,Resfriando,False,False
9a238d8a,26,Resfriando,2025-07-24,UPC-Mata Verde,Resfriando,0,,8,Forno resfriando há 8 dias consecutivos!,False,9,Resfriando,False,False
72ddcec5,26,Descarregado,2025-07-25,UPC-Mata Verde,Descarregado,0,,0,,True,10,Resfriando,False,True
3a1af6c3,26,Vazio,2025-07-26,UPC-Mata Verde,Vazio,1,,0,,True,11,Descarregado,False,False
c5982aac,26,Vazio,2025-07-27,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,0,,False,11,Vazio,False,False
9d4f136d,26,Carregado,2025-07-28,UPC-Mata Verde,Carregado,0,,0,,True,12,Vazio,True,False
ca91db1e,26,Carbonizando,2025-07-29,UPC-Mata Verde,Carbonizando,0,,0,,True,13,Carregado,False,False
ddf01aa5,26,Carbonizando,2025-07-30,UPC-Mata Verde,Carbonizando,0,,0,,False,13,Carbonizando,False,False
369b9d1e,26,Carbonizando,2025-07-31,UPC-Mata Verde,Carbonizando,0,,0,,False,13,Carbonizando,False,False
006db644,26,Resfriando,2025-08-01,UPC-Mata Verde,Resfriando,0,,1,,True,14,Carbonizando,False,False
