Forno,Status_Ajustado,Media_dias
01,Carbonizando,3.1666666666666665
01,Carregado,1.5
01,Descarregado,1.0
01,Resfriando,5.166666666666667
01,Vazio,1.8
02,Caído,67.0
03,Carbonizando,4.6
03,Carregado,1.0
03,Descarregado,1.0
03,Resfriando,4.0
03,Vazio,2.8
04,Carbonizando,4.0
04,Descarregado,1.0
04,Resfriando,4.666666666666667
04,Vazio,2.8
05,Carbonizando,3.5
05,Descarregado,1.0
05,Resfriando,4.166666666666667
05,Vazio,3.6666666666666665
06,Carbonizando,4.25
06,Carregado,2.0
06,Descarregado,1.0
06,Resfriando,5.0
06,Vazio,4.75
07,Carbonizando,4.5
07,Carregado,1.0
07,Descarregado,1.0
07,Resfriando,5.2
07,Vazio,4.25
08,Carbonizando,4.25
08,Carregado,1.5
08,Descarregado,1.0
08,Resfriando,5.2
08,Vazio,4.25
09,Carbonizando,4.0
09,Carregado,1.5
09,Descarregado,1.0
09,Resfriando,3.6666666666666665
09,Vazio,4.5
10,Carbonizando,2.6666666666666665
10,Carregado,3.0
10,Descarregado,1.0
10,Em manutenção,28.0
10,Resfriando,6.0
10,Vazio,2.3333333333333335
11,Carbonizando,4.75
11,Descarregado,1.0
11,Resfriando,6.0
11,Vazio,3.5
12,Carbonizando,3.75
12,Carregado,1.0
12,Descarregado,1.0
12,Resfriando,6.6
12,Vazio,3.5
13,Carbonizando,3.75
13,Carregado,1.0
13,Descarregado,1.0
13,Em manutenção,1.0
13,Resfriando,7.5
13,Vazio,4.0
14,Em manutenção,67.0
15,Caído,64.0
15,Descarregado,1.0
15,Resfriando,1.0
15,Vazio,1.0
16,Carbonizando,4.25
16,Carregado,1.0
16,Descarregado,1.0
16,Resfriando,5.4
16,Vazio,4.5
17,Carbonizando,3.75
17,Carregado,2.0
17,Descarregado,1.0
17,Resfriando,5.4
17,Vazio,3.6
18,Carbonizando,3.6
18,Carregado,1.0
18,Descarregado,1.0
18,Resfriando,4.0
18,Vazio,3.6666666666666665
19,Carbonizando,5.5
19,Carregado,3.0
19,Descarregado,1.0
19,Resfriando,4.2
19,Vazio,4.0
20,Carbonizando,3.5
20,Carregado,3.0
20,Descarregado,1.0
20,Resfriando,5.6
20,Vazio,4.25
21,Carbonizando,3.5
21,Carregado,3.0
21,Descarregado,1.0
21,Resfriando,5.8
21,Vazio,4.0
22,Carbonizando,3.25
22,Carregado,1.0
22,Descarregado,1.0
22,Resfriando,7.25
22,Vazio,3.8
23,Carbonizando,4.0
23,Descarregado,1.0
23,Resfriando,7.75
23,Vazio,3.0
24,Carbonizando,3.0
24,Descarregado,1.0
24,Resfriando,7.6
24,Vazio,2.4
25,Carbonizando,2.5
25,Carregado,1.0
25,Descarregado,1.0
25,Resfriando,8.0
25,Vazio,2.0
26,Carbonizando,2.75
26,Carregado,1.0
26,Descarregado,1.0
26,Resfriando,7.2
26,Vazio,2.6
27,Carbonizando,2.0
27,Carregado,1.0
27,Descarregado,1.0
27,Resfriando,7.25
27,Vazio,2.857142857142857
28,Carbonizando,3.25
28,Descarregado,1.0
28,Resfriando,7.0
28,Vazio,2.8
29,Carbonizando,2.6
29,Carregado,1.5
29,Descarregado,1.0
29,Resfriando,6.2
29,Vazio,2.8
30,Carbonizando,4.0
30,Carregado,1.5
30,Descarregado,1.0
30,Resfriando,5.2
30,Vazio,2.6
31,Caído,67.0
32,Carbonizando,2.6666666666666665
32,Carregado,1.5
32,Descarregado,1.0
32,Resfriando,5.0
32,Vazio,3.5
33,Carbonizando,2.5
33,Carregado,1.0
33,Descarregado,1.0
33,Resfriando,5.0
33,Vazio,4.0
34,Carbonizando,3.6
34,Carregado,1.0
34,Descarregado,1.0
34,Resfriando,4.8
34,Vazio,4.5
35,Carbonizando,3.8
35,Carregado,1.0
35,Descarregado,1.0
35,Resfriando,4.6
35,Vazio,5.0
36,Carbonizando,3.6
36,Carregado,1.0
36,Descarregado,1.0
36,Resfriando,4.8
36,Vazio,5.0
37,Carbonizando,3.8
37,Carregado,1.0
37,Descarregado,1.0
37,Resfriando,5.6
37,Vazio,4.0
38,Carbonizando,6.0
38,Descarregado,1.0
38,Em manutenção,41.0
38,Resfriando,3.5
38,Vazio,3.0
39,Carbonizando,3.4
39,Carregado,1.0
39,Descarregado,1.0
39,Resfriando,4.6
39,Vazio,5.25
40,Carbonizando,4.4
40,Carregado,1.0
40,Descarregado,1.0
40,Resfriando,4.5
40,Vazio,5.5
41,Carbonizando,2.6
41,Carregado,1.0
41,Descarregado,1.0
41,Resfriando,6.4
41,Vazio,4.25
42,Carbonizando,2.8333333333333335
42,Carregado,1.0
42,Descarregado,1.0
42,Resfriando,6.4
42,Vazio,4.666666666666667
43,Carbonizando,4.25
43,Carregado,1.0
43,Descarregado,1.0
43,Resfriando,5.75
43,Vazio,5.75
44,Carbonizando,3.5
44,Carregado,1.0
44,Descarregado,1.0
44,Resfriando,5.25
44,Vazio,6.75
45,Carbonizando,4.5
45,Carregado,1.0
45,Descarregado,1.0
45,Resfriando,5.0
45,Vazio,6.0
46,Caído,67.0
47,Carbonizando,4.75
47,Carregado,1.0
47,Descarregado,1.0
47,Resfriando,7.0
47,Vazio,3.75
48,Caído,67.0
49,Carbonizando,4.75
49,Carregado,1.0
49,Descarregado,1.0
49,Resfriando,5.25
49,Vazio,5.25
50,Carbonizando,4.666666666666667
50,Carregado,1.0
50,Caído,6.0
50,Descarregado,1.0
50,Resfriando,6.333333333333333
50,Vazio,6.0
51,Carbonizando,4.0
51,Carregado,1.0
51,Descarregado,1.0
51,Resfriando,5.75
51,Vazio,5.75
52,Carbonizando,4.25
52,Carregado,1.0
52,Descarregado,1.0
52,Resfriando,6.25
52,Vazio,4.75
53,Carbonizando,4.0
53,Carregado,1.0
53,Descarregado,1.0
53,Resfriando,6.25
53,Vazio,4.75
54,Carbonizando,4.0
54,Carregado,1.0
54,Descarregado,1.0
54,Resfriando,7.25
54,Vazio,4.0
55,Carbonizando,4.0
55,Descarregado,1.0
55,Resfriando,6.5
55,Vazio,3.4
56,Carbonizando,4.0
56,Carregado,1.0
56,Descarregado,1.0
56,Resfriando,7.0
56,Vazio,2.8
57,Carbonizando,4.4
57,Carregado,1.0
57,Descarregado,1.0
57,Resfriando,6.75
57,Vazio,3.25
58,Carbonizando,3.0
58,Carregado,1.0
58,Descarregado,1.0
58,Resfriando,7.0
