Previsao_Descarregado,Quantidade,Estimativa_m3
2025-08-25,10,113.6
2025-08-26,8,90.88
2025-08-27,4,45.44
2025-08-28,2,22.72
2025-08-29,2,22.72
2025-08-30,1,11.36
2025-09-01,7,79.52
2025-09-02,1,11.36
2025-09-03,3,34.08
2025-09-04,5,56.8
2025-09-05,3,34.08
2025-09-06,2,22.72
2025-09-08,10,113.6
2025-09-09,10,113.6
2025-09-10,10,113.6
2025-09-11,9,102.24
2025-09-12,1,11.36
2025-09-13,3,34.08
2025-09-15,8,90.88
2025-09-16,2,22.72
2025-09-18,10,113.6
2025-09-19,10,113.6
2025-09-20,10,113.6
2025-09-22,10,113.6
