Forno,Bloco,Status_Ajustado,Data_Inicio,Data_Fim,Dias_no_Status,Semana,Mes,Perda_m3
01,4,Vazio,2025-07-03,2025-07-03,1,2025-06-30,2025-07,1.2622222222222221
03,3,Vazio,2025-06-29,2025-07-03,5,2025-06-23,2025-06,6.311111111111111
04,3,Vazio,2025-06-29,2025-07-02,4,2025-06-23,2025-06,5.0488888888888885
05,3,Vazio,2025-06-29,2025-07-02,4,2025-06-23,2025-06,5.0488888888888885
06,3,Vazio,2025-06-29,2025-07-02,4,2025-06-23,2025-06,5.0488888888888885
07,3,Vazio,2025-06-29,2025-07-01,3,2025-06-23,2025-06,3.786666666666666
08,3,Vazio,2025-06-29,2025-07-01,3,2025-06-23,2025-06,3.786666666666666
09,3,Vazio,2025-06-29,2025-07-02,4,2025-06-23,2025-06,5.0488888888888885
10,3,Vazio,2025-06-28,2025-06-30,3,2025-06-23,2025-06,3.786666666666666
11,3,Vazio,2025-06-28,2025-06-30,3,2025-06-23,2025-06,3.786666666666666
12,3,Vazio,2025-06-28,2025-06-30,3,2025-06-23,2025-06,3.786666666666666
13,2,Vazio,2025-06-27,2025-06-29,3,2025-06-23,2025-06,3.786666666666666
15,3,Vazio,2025-06-28,2025-06-28,1,2025-06-23,2025-06,1.2622222222222221
16,3,Vazio,2025-06-28,2025-06-29,2,2025-06-23,2025-06,2.5244444444444443
17,3,Vazio,2025-06-28,2025-06-28,1,2025-06-23,2025-06,1.2622222222222221
18,3,Vazio,2025-06-28,2025-06-29,2,2025-06-23,2025-06,2.5244444444444443
18,7,Vazio,2025-07-03,2025-07-06,4,2025-06-30,2025-07,5.0488888888888885
22,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
23,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
24,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
25,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
26,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
27,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
27,5,Vazio,2025-07-04,2025-07-06,3,2025-06-30,2025-07,3.786666666666666
28,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
29,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
29,6,Vazio,2025-07-03,2025-07-03,1,2025-06-30,2025-07,1.2622222222222221
30,2,Vazio,2025-06-27,2025-06-27,1,2025-06-23,2025-06,1.2622222222222221
30,6,Vazio,2025-07-03,2025-07-03,1,2025-06-30,2025-07,1.2622222222222221
32,4,Vazio,2025-07-01,2025-07-04,4,2025-06-30,2025-07,5.0488888888888885
33,4,Vazio,2025-07-01,2025-07-04,4,2025-06-30,2025-07,5.0488888888888885
34,4,Vazio,2025-07-01,2025-07-05,5,2025-06-30,2025-07,6.311111111111111
35,4,Vazio,2025-07-01,2025-07-06,6,2025-06-30,2025-07,7.573333333333332
36,4,Vazio,2025-07-01,2025-07-06,6,2025-06-30,2025-07,7.573333333333332
37,1,Vazio,2025-06-26,2025-06-27,2,2025-06-23,2025-06,2.5244444444444443
39,4,Vazio,2025-07-02,2025-07-06,5,2025-06-30,2025-07,6.311111111111111
40,4,Vazio,2025-07-02,2025-07-06,5,2025-06-30,2025-07,6.311111111111111
41,3,Vazio,2025-07-05,2025-07-07,3,2025-06-30,2025-07,3.786666666666666
43,4,Vazio,2025-07-02,2025-07-06,5,2025-06-30,2025-07,6.311111111111111
44,4,Vazio,2025-07-02,2025-07-07,6,2025-06-30,2025-07,7.573333333333332
45,4,Vazio,2025-07-05,2025-07-07,3,2025-06-30,2025-07,3.786666666666666
47,4,Vazio,2025-07-02,2025-07-07,6,2025-06-30,2025-07,7.573333333333332
49,4,Vazio,2025-07-03,2025-07-07,5,2025-06-30,2025-07,6.311111111111111
50,2,Vazio,2025-07-02,2025-07-07,6,2025-06-30,2025-07,7.573333333333332
51,4,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
52,4,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
53,5,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
54,4,Vazio,2025-07-07,2025-07-07,1,2025-07-07,2025-07,1.2622222222222221
55,1,Vazio,2025-06-26,2025-06-26,1,2025-06-23,2025-06,1.2622222222222221
55,5,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
56,1,Vazio,2025-06-26,2025-06-26,1,2025-06-23,2025-06,1.2622222222222221
56,5,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
57,1,Vazio,2025-06-26,2025-06-26,1,2025-06-23,2025-06,1.2622222222222221
57,5,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
58,1,Vazio,2025-06-26,2025-06-26,1,2025-06-23,2025-06,1.2622222222222221
58,6,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
59,1,Vazio,2025-06-26,2025-06-26,1,2025-06-23,2025-06,1.2622222222222221
59,6,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
60,1,Vazio,2025-06-26,2025-06-27,2,2025-06-23,2025-06,2.5244444444444443
60,5,Vazio,2025-07-04,2025-07-07,4,2025-06-30,2025-07,5.0488888888888885
