FazendaNome,Data,Metragem,DensidadeSeca,Umidade,PlacaVeiculo,MotoristaVeiculo,PesoBruto
PROTEÇÃO,2025-02-28,121.49,275.084,5.45,2350,1517.0,53250.0
PROTEÇÃO,2025-03-02,121.5,308.395,7.6,2350,1517.0,57930.0
PROTEÇÃO,2025-03-03,119.39,302.649,15.19,2350,1517.0,58200.0
PROTEÇÃO,2025-03-04,121.34,307.153,5.56,2350,1517.0,57420.0
PROTEÇÃO,2025-03-07,120.9,332.443,13.16,2350,1517.0,61240.0
PROTEÇÃO,2025-03-09,120.02,303.533,4.81,2350,1517.0,56890.0
PROTEÇÃO,2025-03-13,122.33,319.067,13.57,2350,1517.0,60000.0
PROTEÇÃO,2025-03-14,66.3,290.498,5.06,812,5149.0,30300.0
PROTEÇÃO,2025-03-15,112.97,287.51,9.24,7650,1517.0,51370.0
PROTEÇÃO,2025-03-18,115.63,281.242,4.77,7650,1517.0,50660.0
PROTEÇÃO,2025-03-20,122.75,282.2,5.8,2350,1517.0,54800.0
PROTEÇÃO,2025-03-22,126.88,287.358,5.61,8177,6066.0,57520.0
PROTEÇÃO,2025-03-28,126.59,300.419,6.3,7889,1903.0,59620.0
PROTEÇÃO,2025-03-30,123.15,295.006,6.27,7889,1903.0,58340.0
PROTEÇÃO,2025-04-01,125.05,294.922,6.46,7889,1903.0,59000.0
PROTEÇÃO,2025-04-04,125.3,281.405,6.97,7889,1903.0,57510.0
PROTEÇÃO,2025-04-08,123.6,269.741,4.72,7889,1903.0,54720.0
PROTEÇÃO,2025-04-11,121.38,270.061,6.55,7889,1903.0,54090.0
PROTEÇÃO,2025-04-12,125.05,272.131,6.52,7343,1903.0,55230.0
PROTEÇÃO,2025-04-16,124.19,299.058,5.26,7343,1903.0,58490.0
PROTEÇÃO,2025-05-01,112.97,319.908,5.69,7650,1517.0,55610.0
PROTEÇÃO,2025-05-01,107.78,300.241,9.54,7646,2921.0,51340.0
PROTEÇÃO,2025-05-05,110.33,282.516,11.41,7646,2921.0,50120.0
PROTEÇÃO,2025-05-05,69.3,274.747,7.09,812,5149.0,30100.0
PROTEÇÃO,2025-05-06,125.26,292.831,4.87,2350,1517.0,56870.0
PROTEÇÃO,2025-05-07,107.42,273.878,3.87,7646,2921.0,48650.0
PROTEÇÃO,2025-05-10,109.2,274.542,5.06,7646,2921.0,49410.0
PROTEÇÃO,2025-06-15,107.06,275.64,4.77,7646,2921.0,48230.0
PROTEÇÃO,2025-06-15,117.67,287.159,6.71,7650,2921.0,52500.0
PROTEÇÃO,2025-06-17,67.87,284.662,5.35,812,5149.0,30290.0
PROTEÇÃO,2025-06-18,105.96,274.16,6.02,7646,2921.0,48020.0
PROTEÇÃO,2025-06-20,69.2,284.104,5.23,812,5149.0,30510.0
PROTEÇÃO,2025-06-20,116.39,275.883,6.72,7650,2921.0,50990.0
PROTEÇÃO,2025-06-21,110.7,240.108,7.2,7646,2921.0,45490.0
PROTEÇÃO,2025-06-23,114.49,287.012,6.51,7650,1517.0,51720.0
PROTEÇÃO,2025-06-24,115.07,307.552,6.96,7650,1517.0,53850.0
PROTEÇÃO,2025-06-25,71.9,298.609,7.49,812,5149.0,32320.0
PROTEÇÃO,2025-06-28,67.87,300.133,6.64,812,5149.0,31230.0
