Data,Talhão,Área (ha),Valor/ha (R$),Custo Diário (R$),Colaboradores,Horário (Início - Fim),Total (kg)
01/08/2025,9.0,10.54,119.3,1257.422,6.0,07h - 16h,300.0
02/08/2025,18.0,8.21,119.3,979.4530000000001,6.0,07h - 16h,250.0
2025-08-03 00:00:00,10.0,16.13,119.3,1924.3089999999997,6.0,07h - 16h,300.0
2025-08-07 00:00:00,15.0,52.75,119.3,6293.075,5.0,07h - 16h,280.0
2025-08-13 00:00:00,25.0,39.63,119.3,4727.859,3.0,07h - 16h,300.0
2025-08-14 00:00:00,24.0,44.01,119.3,5250.393,5.0,07h - 16h,250.0
2025-08-15 00:00:00,21.0,45.76,119.3,5459.168,6.0,07h - 16h,450.0
2025-08-15 00:00:00,29.0,40.93,119.3,4882.949,6.0,07h - 16h,80.0
2025-08-16 00:00:00,28.0,38.92,119.3,4643.156,7.0,07h - 16h,50.0
2025-08-16 00:00:00,27.0,36.73,119.3,4381.888999999999,7.0,07h - 16h,55.0
2025-08-16 00:00:00,26.0,32.13,119.3,3833.1090000000004,7.0,07h - 16h,50.0
2025-08-18 00:00:00,2.0,51.7,119.3,6167.81,7.0,07h - 16h,150.0
2025-08-18 00:00:00,3.0,44.29,119.3,5283.797,7.0,07h - 16h,100.0
2025-08-19 00:00:00,1.0,15.99,119.3,1907.607,7.0,07h - 16h,100.0
2025-08-19 00:00:00,8.0,14.96,119.3,1784.728,7.0,07h - 16h,130.0
