Previsao_Descarregado,Quantidade,Estimativa_m3
2025-08-07,31,352.15999999999997
2025-08-08,10,113.6
2025-08-09,3,34.08
2025-08-11,1,11.36
2025-08-20,31,352.15999999999997
2025-08-21,10,113.6
2025-08-22,3,34.08
2025-08-24,1,11.36
2025-09-02,31,352.15999999999997
2025-09-03,10,113.6
2025-09-04,3,34.08
2025-09-06,1,11.36
2025-09-15,31,352.15999999999997
2025-09-16,10,113.6
2025-09-17,3,34.08
2025-09-19,1,11.36
2025-09-28,31,352.15999999999997
2025-09-29,10,113.6
2025-09-30,3,34.08
2025-10-02,1,11.36
2025-10-11,31,352.15999999999997
2025-10-12,10,113.6
2025-10-13,3,34.08
2025-10-15,1,11.36
2025-10-24,31,352.15999999999997
2025-10-25,10,113.6
2025-10-26,3,34.08
2025-10-28,1,11.36
2025-11-06,31,352.15999999999997
2025-11-07,10,113.6
2025-11-08,3,34.08
2025-11-10,1,11.36
2025-11-19,31,352.15999999999997
2025-11-20,10,113.6
2025-11-21,3,34.08
2025-11-23,1,11.36
2025-12-02,31,352.15999999999997
2025-12-03,10,113.6
2025-12-04,3,34.08
2025-12-06,1,11.36
2025-12-15,31,352.15999999999997
2025-12-16,10,113.6
2025-12-17,3,34.08
2025-12-19,1,11.36
2025-12-28,31,352.15999999999997
2025-12-29,10,113.6
2025-12-30,3,34.08
2026-01-01,1,11.36
2026-01-10,31,352.15999999999997
2026-01-11,10,113.6
2026-01-12,3,34.08
2026-01-14,1,11.36
2026-01-23,31,352.15999999999997
2026-01-24,10,113.6
2026-01-25,3,34.08
2026-01-27,1,11.36
2026-02-05,31,352.15999999999997
2026-02-06,10,113.6
2026-02-07,3,34.08
2026-02-09,1,11.36
2026-02-18,31,352.15999999999997
2026-02-19,10,113.6
2026-02-20,3,34.08
2026-02-22,1,11.36
2026-03-03,31,352.15999999999997
2026-03-04,10,113.6
2026-03-05,3,34.08
2026-03-07,1,11.36
