Mes,Ano,PrecoUnitarioNota
1.0,2018.0,144.1809523809524
1.0,2019.0,171.888
1.0,2020.0,141.12150289017342
1.0,2021.0,180.61945454545454
1.0,2022.0,201.91514705882355
1.0,2023.0,223.74302884615386
1.0,2024.0,239.47684
1.0,2025.0,291.23384236453205
2.0,2016.0,145.0
2.0,2018.0,144.27719178082194
2.0,2019.0,169.6989573459716
2.0,2020.0,136.9756209150327
2.0,2021.0,186.6637552742616
2.0,2022.0,206.9455729166667
2.0,2023.0,222.64739130434785
2.0,2024.0,228.13334763948498
2.0,2025.0,299.5251470588235
3.0,2018.0,151.15204545454546
3.0,2019.0,165.90166666666667
3.0,2020.0,144.17995000000002
3.0,2021.0,181.43543307086614
3.0,2022.0,223.5871162790698
3.0,2023.0,241.311875
3.0,2024.0,236.7787659574468
3.0,2025.0,299.1024034334764
4.0,2018.0,158.9921686746988
4.0,2019.0,165.3881954887218
4.0,2020.0,144.6687898089172
4.0,2021.0,180.87128205128204
4.0,2022.0,271.52831775700935
4.0,2023.0,265.43444444444447
4.0,2024.0,248.19570247933885
4.0,2025.0,301.9682710280374
5.0,2017.0,136.25
5.0,2018.0,165.95543103448279
5.0,2019.0,164.62715789473685
5.0,2020.0,125.64704402515724
5.0,2021.0,171.5990909090909
5.0,2022.0,315.3613709677419
5.0,2023.0,292.50587719298244
5.0,2024.0,258.7108984375
5.0,2025.0,312.9030204081633
6.0,2017.0,137.53461988304093
6.0,2018.0,173.13102739726028
6.0,2019.0,164.34420731707317
6.0,2020.0,122.14534782608696
6.0,2021.0,183.9100900900901
6.0,2022.0,326.3833333333333
6.0,2023.0,289.1007342657343
6.0,2024.0,266.50421276595745
6.0,2025.0,321.4205349794239
7.0,2017.0,139.13632352941178
7.0,2018.0,175.96123076923075
7.0,2019.0,155.0579695431472
7.0,2020.0,140.3945798319328
7.0,2021.0,187.89932367149757
7.0,2022.0,302.51535864978905
7.0,2023.0,244.58861386138614
7.0,2024.0,257.15171875
8.0,2017.0,138.54244897959182
8.0,2018.0,153.9661111111111
8.0,2019.0,149.86769230769232
8.0,2020.0,154.23986842105265
8.0,2021.0,178.10473451327434
8.0,2022.0,266.7948163265306
8.0,2023.0,194.00762845849803
8.0,2024.0,264.8005090909091
9.0,2017.0,137.65738255033557
9.0,2018.0,161.6906132075472
9.0,2019.0,137.86756250000002
9.0,2020.0,160.83284552845527
9.0,2021.0,157.7114367816092
9.0,2022.0,239.08021097046415
9.0,2023.0,201.6014864864865
9.0,2024.0,268.87473895582326
10.0,2017.0,139.4815294117647
10.0,2018.0,167.78318777292577
10.0,2019.0,125.20778523489932
10.0,2020.0,162.32163636363634
10.0,2021.0,173.8500438596491
10.0,2022.0,236.81527777777777
10.0,2023.0,204.25158490566037
10.0,2024.0,273.5794347826087
11.0,2017.0,139.88513513513513
11.0,2018.0,158.77585152838427
11.0,2019.0,123.76529411764707
11.0,2020.0,171.27262068965516
11.0,2021.0,186.2976767676768
11.0,2022.0,216.37019230769232
11.0,2023.0,223.32473251028804
11.0,2024.0,278.7401234567902
12.0,2017.0,137.07201612903225
12.0,2018.0,165.5185546875
12.0,2019.0,133.85161616161616
12.0,2020.0,181.97619047619048
12.0,2021.0,175.48984771573603
12.0,2022.0,228.07153110047847
12.0,2023.0,234.98811538461538
12.0,2024.0,280.3614830508474
